,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
156,65201,CHOWCHILLA UNION HIGH,21.0,642.0,370.0,22.0,9.0,1.0,8.0,1073.0,9796000.0,9129.54
157,65995,CHUALAR UNION,0.0,336.0,2.0,0.0,0.0,0.0,0.0,338.0,4357000.0,12890.53
158,68023,CHULA VISTA ELEMENTARY,1073.0,21148.0,3268.0,3384.0,47.0,120.0,1013.0,30053.0,276287000.0,9193.33
159,67462,CIENEGA UNION ELEMENTARY,0.0,11.0,12.0,0.0,0.0,0.0,0.0,23.0,290000.0,12608.7
160,70649,CINNABAR ELEMENTARY,2.0,175.0,85.0,2.0,0.0,2.0,4.0,270.0,3853000.0,14270.37
161,64394,CLAREMONT UNIFIED,342.0,2931.0,2418.0,778.0,14.0,20.0,563.0,7066.0,75294000.0,10655.82
162,62109,CLAY JOINT ELEMENTARY,0.0,67.0,154.0,9.0,0.0,0.0,14.0,244.0,2237000.0,9168.03
163,66324,CLEAR CREEK ELEMENTARY,0.0,14.0,124.0,0.0,1.0,0.0,6.0,145.0,988000.0,6813.79
164,70656,CLOVERDALE UNIFIED,7.0,772.0,542.0,14.0,41.0,4.0,38.0,1418.0,9072000.0,6397.74
165,62117,CLOVIS UNIFIED,1338.0,15681.0,17321.0,6697.0,284.0,103.0,1322.0,42746.0,441821000.0,10335.96
166,73676,COACHELLA VALLEY UNIFIED,35.0,18290.0,156.0,21.0,92.0,0.0,125.0,18719.0,255366000.0,13642.07
167,62125,COALINGA-HURON UNIFIED,46.0,3746.0,455.0,92.0,14.0,1.0,96.0,4450.0,54050000.0,12146.07
168,75465,COAST UNIFIED,6.0,405.0,207.0,7.0,3.0,3.0,18.0,649.0,3379000.0,5206.47
169,71670,COFFEE CREEK ELEMENTARY,0.0,0.0,4.0,0.0,0.0,0.0,3.0,7.0,191000.0,27285.71
170,69161,COLD SPRING ELEMENTARY,2.0,14.0,140.0,8.0,0.0,0.0,5.0,169.0,932000.0,5514.79
171,66795,COLFAX ELEMENTARY,1.0,29.0,251.0,1.0,1.0,0.0,29.0,312.0,2844000.0,9115.38
172,69179,COLLEGE ELEMENTARY,0.0,163.0,190.0,2.0,15.0,1.0,22.0,393.0,2203000.0,5605.6
